rank,country,value,region
127,Ethiopia,0.391,Sub-Saharan Africa
128,Georgia,0.643,Commonwealth of Independent States
129,Armenia,0.666,Commonwealth of Independent States
130,Myanmar,0.429,Southeast Asia
131,Chad,0.053,Sub-Saharan Africa
132,Congo (Kinshasa),0.204,Sub-Saharan Africa
133,India,0.485,South Asia
134,Niger,0.221,Sub-Saharan Africa
135,Uganda,0.237,Sub-Saharan Africa
136,Benin,0.24,Sub-Saharan Africa
137,Sudan,0.312,Sub-Saharan Africa
138,Ukraine,0.609,Commonwealth of Independent States
139,Togo,0.253,Sub-Saharan Africa
140,Guinea,0.211,Sub-Saharan Africa
141,Lesotho,0.079,Sub-Saharan Africa
142,Angola,0.269,Sub-Saharan Africa
143,Madagascar,0.402,Sub-Saharan Africa
144,Zimbabwe,0.248,Sub-Saharan Africa
145,Afghanistan,0.255,South Asia
146,Botswana,0.417,Sub-Saharan Africa
147,Malawi,0.306,Sub-Saharan Africa
148,Haiti,0.289,Latin America and Caribbean
149,Liberia,0.267,Sub-Saharan Africa
150,Syria,0.539,Middle East and North Africa
151,Rwanda,0.4,Sub-Saharan Africa
152,Yemen,0.343,Middle East and North Africa
153,Tanzania,0.381,Sub-Saharan Africa
154,South Sudan,0.177,Sub-Saharan Africa
155,Central African Republic,0.01,Sub-Saharan Africa
156,Burundi,0.145,Sub-Saharan Africa
