rank,country,value,region
107,Ivory Coast,0.467,Sub-Saharan Africa
108,Ghana,0.499,Sub-Saharan Africa
109,Senegal,0.406,Sub-Saharan Africa
110,Laos,0.626,Southeast Asia
111,Tunisia,0.271,Middle East and North Africa
112,Albania,0.419,Central and Eastern Europe
113,Sierra Leone,0.355,Sub-Saharan Africa
114,Congo (Brazzaville),0.514,Sub-Saharan Africa
115,Bangladesh,0.58,South Asia
116,Sri Lanka,0.585,South Asia
117,Iraq,0.304,Middle East and North Africa
118,Mali,0.367,Sub-Saharan Africa
119,Namibia,0.519,Sub-Saharan Africa
120,Cambodia,0.696,Southeast Asia
121,Burkina Faso,0.312,Sub-Saharan Africa
122,Egypt,0.312,Middle East and North Africa
123,Mozambique,0.531,Sub-Saharan Africa
124,Kenya,0.504,Sub-Saharan Africa
125,Zambia,0.503,Sub-Saharan Africa
126,Mauritania,0.129,Sub-Saharan Africa
127,Ethiopia,0.452,Sub-Saharan Africa
128,Georgia,0.375,Commonwealth of Independent States
129,Armenia,0.26,Commonwealth of Independent States
130,Myanmar,0.58,Southeast Asia
131,Chad,0.189,Sub-Saharan Africa
132,Congo (Kinshasa),0.312,Sub-Saharan Africa
133,India,0.539,South Asia
134,Niger,0.39,Sub-Saharan Africa
135,Uganda,0.45,Sub-Saharan Africa
136,Benin,0.44,Sub-Saharan Africa
137,Sudan,0.016,Sub-Saharan Africa
138,Ukraine,0.163,Commonwealth of Independent States
139,Togo,0.434,Sub-Saharan Africa
140,Guinea,0.394,Sub-Saharan Africa
141,Lesotho,0.423,Sub-Saharan Africa
142,Angola,0,Sub-Saharan Africa
143,Madagascar,0.221,Sub-Saharan Africa
144,Zimbabwe,0.406,Sub-Saharan Africa
145,Afghanistan,0.085,South Asia
146,Botswana,0.557,Sub-Saharan Africa
147,Malawi,0.531,Sub-Saharan Africa
148,Haiti,0.025,Latin America and Caribbean
149,Liberia,0.419,Sub-Saharan Africa
150,Syria,0.088,Middle East and North Africa
151,Rwanda,0.636,Sub-Saharan Africa
152,Yemen,0.244,Middle East and North Africa
153,Tanzania,0.481,Sub-Saharan Africa
154,South Sudan,0.112,Sub-Saharan Africa
155,Central African Republic,0.305,Sub-Saharan Africa
156,Burundi,0.065,Sub-Saharan Africa
